Origin,1990,1995,2000,2005,2010,2015,2020
India,6612932,7144295,7912823,9567871,13188762,15852725,17841249
Mexico,4395277,6949190,9562758,10817652,12414992,11922938,11185394
Russian Federation,12653132,11587969,10664855,10302078,10118071,10179214,10755333
China,4230637,5036184,5896047,7340551,8713910,10242627,10464129
Syrian Arab Republic,620181,661220,707036,813313,1057247,6447750,8457103
Bangladesh,5449776,5423912,5442100,5493007,6309428,6810053,7387967
Pakistan,3340857,3339070,3403709,3773952,4779911,5780674,6316942
Philippines,2052867,2528351,3114186,3736265,4739453,5543348,6141098
Ukraine,5543695,5604645,5594918,5564277,5426812,5793598,6134556
Afghanistan,7679523,4347013,4750647,4116687,5269443,5400820,5853727
Venezuela (Bolivarian Republic of),185196,241680,317627,436921,560287,708830,5414978
Poland,1671804,1773277,2043485,2879210,3708409,4066805,4813196
United Kingdom,3675424,3606200,3736706,3982324,4319367,4320522,4667754
Indonesia,1630095,1944834,2422406,2791663,3429516,4078384,4614574
Kazakhstan,2971634,3295157,3554484,3717649,3797527,3885576,4203899
State of Palestine,1812576,2274529,2767290,3258049,3539831,3773889,4022677
Romania,811080,976101,1138145,2105012,3362060,3419036,3985145
Germany,2896061,3020846,3212185,3412558,3675170,3617732,3840067
Myanmar,685097,911314,1224219,1736471,2492101,2842271,3711493
Egypt,1321145,1490865,1706412,1805433,2582972,3146314,3604936
Turkey,2512158,2771188,2846869,2576690,2708031,3072370,3410055
Viet Nam,1506284,1843255,2159676,2377401,2631929,2910473,3393033
Morocco,1747758,1884114,2077554,2471130,2861010,2971845,3262213
Italy,3340700,3199304,3058260,2686672,2541453,2639424,3231794
Colombia,1009030,1215808,1433691,1883576,2553543,2698073,3023559
United States of America,1753522,1853501,2001594,2316772,2690489,2739386,3017939
South Sudan,628352,575350,461370,286105,407081,1069274,2669077
Nepal,748084,856142,977582,1289780,1712736,2270161,2599675
Sudan,629834,835099,959298,1563269,1551145,2185507,2499895
France,1285938,1431469,1640520,1807049,2047749,2223925,2451886
Republic of Korea,1518003,1699048,1880101,1979001,2255918,2155634,2207557
Iraq,642791,752516,828346,1340508,2554797,1675443,2077779
Portugal,1858690,1911152,1982693,1725347,1917504,1969150,2076385
Democratic Republic of the Congo,524576,702406,1086195,1399120,1575561,1762607,2060151
Uzbekistan,1427980,1515731,1575965,1730224,1888942,1976024,2027823
Algeria,922469,980711,1039240,1600924,1656457,1837406,2023210
Somalia,844822,966082,999826,1050629,1566139,1931555,1975730
Sri Lanka,882839,923050,978767,1151101,1453793,1655349,1959051
Brazil,490380,729531,939225,1192953,1493043,1501186,1893593
Malaysia,559712,860903,1200966,1379012,1598523,1780281,1859124
Puerto Rico,1201362,1406946,1601664,1643488,1736751,1720678,1855623
Nigeria,558125,638438,723596,925689,1072879,1420835,1841339
Haiti,524711,661354,802218,967894,1123190,1467042,1769671
Cuba,835022,933942,1047410,1159631,1313909,1504773,1755985
Bosnia and Herzegovina,861613,1372435,1496612,1500924,1572762,1593220,1687396
Bulgaria,609124,647037,687029,905647,1103319,1175544,1678336
Dominican Republic,458021,667015,889451,1014070,1184417,1454602,1608567
Burkina Faso,1023492,1218556,1283030,1356232,1439095,1524954,1606371
El Salvador,1241849,933103,949042,1118793,1337085,1512895,1599058
Central African Republic,64919,69741,81074,224095,451297,1331103,1576945
Peru,313010,505350,694058,968890,1298932,1409989,1519392
Spain,1439006,1362548,1290744,1114659,1087148,1269227,1489784
Belarus,1767487,1736400,1685545,1581028,1464510,1469635,1483340
Mali,669406,853221,818658,945707,1063217,1321240,1402388
Guatemala,348099,461835,582758,736665,924826,1118023,1368325
Iran (Islamic Republic of),630516,746315,830910,889113,985156,1155259,1324622
Yemen,455409,486198,529361,628824,876318,1095157,1301070
Lao People's Democratic Republic,483490,548363,649952,897708,1199606,1288739,1296642
Canada,991974,1062797,1141103,1182998,1264403,1258646,1286533
Albania,180126,501003,824373,965942,1117809,1142676,1250256
