Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United Arab Emirates,ARE,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
Australia,AUS,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.5,1.3,1.3,1.4,1.3,1.4,1.5,1,1,0.9,0.9,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Canada,CAN,Poverty headcount ratio at $5.50 a day  (% of population),0.5,0.5,0.5,0.5,0.5,0.5,0.8,1,1,1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Germany,DEU,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),0.2,0.2,0.3,0.2,0.5,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.5
Spain,ESP,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),2.7,2.7,3,3.2,3.5,4.2,4.2,4.2,3.8,3.2,1.5,1.5,1.5,2.1,2.1,2.3,2.4,1.5,1.7,2.3,2.3,2.8,3.1,3.4,2.9,3.2,3.2,2.2,2.4,2.4,2.4
France,FRA,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.1,0.1,0.3,0.3,0.2,0.3,0.2,0.1,0.3,0.2,0.1,0.1,0.1,0.1
United Kingdom,GBR,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),1.2,1.2,1.2,1.2,1,2,2,2,1.5,1,0.7,0.7,0.7,0.7,1.2,1.2,0.8,0.8,1,0.6,0.7,0.7,0.6,0.4,0.6,0.7,0.5,0.9,0.9,0.9,0.9
Russian Federation,RUS,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),30.5,30.5,30.5,30.5,30.4,30.3,30.2,26,31.6,43.4,37.9,31.1,26.2,24.7,21.8,18.5,15.3,11.2,7.3,7,5.6,4.7,4.3,3.8,3.6,4.1,4.1,3.8,3.7,3.7,3.7
Saudi Arabia,SAU,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.25,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
United States,USA,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),1.2,1.2,1.5,1.2,1.5,1.2,1.2,1.2,1.5,1.2,1.2,1.5,1.5,1.7,1.7,1.5,1.7,1.5,1.7,1.5,1.7,1.7,1.7,1.7,2,1.7,1.7,1.7,1.7,1.7,1.7
Afghanistan,AFG,Poverty gap at $5.50 a day (2011 PPP) (%),58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,62,62.3,62.3,62.3,62.3,62.3,45,42,38.3,38.5,45.2,48.3,51.2,55.4,55.4,55.4,55.4,55.4
Bangladesh,BGD,Poverty gap at $5.50 a day (2011 PPP) (%),58.3,58.3,58.3,58.3,52.6,52.6,52.6,52.6,52.6,51.1,51.1,51.1,51.1,51.1,46.6,46.6,46.6,46.6,46.6,43,43,43,43,43,43,38.8,38.8,38.8,38.8,38.8,38.8
China,CHN,Poverty gap at $5.50 a day (2011 PPP) (%),66.4,63.5,62.5,60.2,57.6,54,53.2,52.8,51.4,48.5,45.6,43.9,43.9,43.9,33.5,31.2,28.5,27.6,25.6,23.1,19.8,17.3,11.7,9.7,7.8,6.5,6.5,6.5,6.5,6.5,6.5
India,IND,Poverty gap at $5.50 a day (2011 PPP) (%),58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,54.1,54.1,54.1,54.1,54.1,50.5,50.5,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4
Mexico,MEX,Poverty gap at $5.50 a day (2011 PPP) (%),18,17.4,17.3,17.2,25.6,29.2,29.5,23,23,18.3,18.3,16.2,16.2,14.2,14.4,11.9,12.4,12.8,12.7,12,12,11.3,11.3,11.4,11.4,8.1,8.1,6.9,6.9,6.9,6.9
Pakistan,PAK,Poverty gap at $5.50 a day (2011 PPP) (%),64.9,64.9,64.9,64.9,64.9,45.8,458.8,47.9,48.5,49.6,51.7,51.7,51.7,44.3,43.8,43.8,41.3,41.3,40.2,36.4,35.5,34.6,32.1,31.3,29.1,28.2,29.5,29.4,29.4,29.4,29.4
Philippines,PHL,Poverty gap at $5.50 a day (2011 PPP) (%),42.3,42.3,42.3,41.2,40.8,35.6,38.2,34.2,31.9,29.2,29,28.5,28.3,29.2,29.3,29.3,27.5,27.2,26.6,26.6,26.6,26,25.2,24.5,21.3,21,17,16,16,16,16
Syrian Arab Republic,SYR,Poverty gap at $5.50 a day (2011 PPP) (%),20,20,20,20,19,17,16.2,15.7,15.3,14.2,13.5,12.6,11.5,11.5,11.5,11.4,11.3,12,12.2,11.9,11.8,11,70,70,82,82.5,82.5,82.5,82.5,82.5,82.5
Ukraine,UKR,Poverty gap at $5.50 a day (2011 PPP) (%),15.2,11.9,10.7,10.7,16.9,19.3,18.2,17.5,16.8,15.9,14.2,12.4,8.7,6.5,3.7,2.8,2.4,1.2,1.4,0.8,0.7,0.5,0.4,0.4,1.1,1,0.7,0.6,0.4,0.4,0.4
