"Major area, region, country or area of destination",Notes,Code,Type of data (a),Estimated refugee stock (including asylum seekers) at mid-year (both sexes),,,,,,
,,,,1990,1995,2000,2005,2010,2015,2019
WORLD,,900,,18977581,18142316,16503717,13757766,15880355,24651000,28711526
UN development groups,,,,..,..,..,..,..,..,..
More developed regions,b,901,,2042750,3880290,3572526,2632565,2207096,3601314,4813580
Less developed regions,c,902,,16934831,14262026,12931191,11125201,13673259,21049686,23897946
Least developed countries,d,941,,5048975,5165247,3098899,2362353,2044868,4493016,6949378
"Less developed regions, excluding least developed countries",,934,,11885856,9096779,9832292,8762848,11628391,16556670,16948568
World Bank income groups,,,,..,..,..,..,..,..,..
High-income countries,e,1503,,2127921,3213250,3021424,2717541,2141811,3299001,4734790
Middle-income countries,e,1517,,12615251,10285011,10700261,8665149,10718934,16988481,18498707
Upper-middle-income countries,e,1502,,6347793,5911636,5619443,4630073,5295219,11118899,11347870
Lower-middle-income countries,e,1501,,6267458,4373375,5080818,4035076,5423715,5869582,7150837
Low-income countries,e,1500,,4227808,4640754,2782032,2375076,3019596,4363518,5478028
No income group available,e,1518,,6601,3301,0,0,14,0,1
Geographic regions,,,,..,..,..,..,..,..,..
Africa,,903,,5697283,5952996,3698535,2941924,2726187,6186607,7299284
Asia,,935,,10038834,7952442,9185166,8121643,10545376,14453065,16013658
Europe,,908,,1323376,3016710,2472899,1862341,1750314,2820482,3595669
Latin America and the Caribbean,,904,,1197274,352309,44176,53436,394300,415459,607263
Northern America,,905,,610144,775419,1019706,696254,426384,714900,1086344
Oceania,,909,,110670,92440,83235,82168,37794,60487,109308
Sustainable Development Goal (SDG) regions,f,,,..,..,..,..,..,..,..
SUB-SAHARAN AFRICA,,947,,4494798,5076802,3080836,2583693,2329503,5469929,5932280
Eastern Africa,,910,,3177187,2028623,1696779,1438330,1080283,2638662,3829905
Burundi,,108,B R,267929,173017,27136,20681,29365,47805,65911
Comoros,,174,B,0,5,10,5,0,0,0
Djibouti,,262,B R,54508,27310,23257,10456,15104,22006,26895
Eritrea,,232,I,0,1083,1984,4418,4809,2550,2392
Ethiopia,,231,B R,741965,393479,197959,100817,155323,738217,891990
Kenya,,404,B R,14249,234665,214819,267731,430871,593881,488368
Madagascar,,450,C,0,0,50,0,0,22,86
Malawi,,454,B R,874614,1018,3900,4240,5740,23489,34973
Mauritius,1,480,C,0,0,0,0,0,0,0
Mayotte,,175,B,0,0,0,0,0,0,0
Mozambique,,508,B R,420,128,207,1954,9991,20447,23651
Réunion,,638,B,0,0,0,0,0,0,0
Rwanda,,646,B R,23601,7792,30118,49507,55688,145151,171414
Seychelles,,690,B,0,0,0,0,0,0,0
Somalia,,706,I R,460000,626,568,493,26048,18201,29231
South Sudan,,728,B R,..,..,..,..,27173,263865,285295
Uganda,,800,B R,145718,229350,239095,259065,156605,512966,1395115
United Republic of Tanzania,2,834,B R,265184,829671,702282,549131,110533,213995,352700
Zambia,,894,B R,138049,129965,251199,155864,48182,28858,45936
Zimbabwe,,716,B R,190950,514,4195,13968,4851,7209,15948
Middle Africa,,911,,447234,1545096,608840,659946,809445,1224909,1431395
Angola,,24,B R,12000,11404,12579,13867,15155,45698,71270
Cameroon,,120,B,49876,45781,45313,58808,106658,348346,343120
Central African Republic,,140,C,3389,33856,55661,24569,21574,7694,10611
Chad,,148,B R,0,100,17692,275412,347939,372438,412100
Congo,,178,B,2990,19404,124068,69561,138636,49297,55576
Democratic Republic of the Congo,,180,B R,378562,1433760,332509,204341,166336,398552,537893
Equatorial Guinea,,226,C,0,0,0,0,0,0,0
Gabon,,266,C,417,791,21018,13388,13147,2884,825
Sao Tome and Principe,,678,C,0,0,0,0,0,0,0
Southern Africa,,913,,135525,105184,62850,180315,242021,1224036,287959
