Country,year,value,lastValue
USA,1990,20141921,0
USA,1995,26604854,20141921
USA,2000,33172751,26604854
USA,2005,37005562,33172751
USA,2010,42074589,37005562
USA,2015,45774971,42074589
USA,2020,46598723,45774971
Germany,1990,5926839,0
Germany,1995,7412794,5926839
Germany,2000,8931737,7412794
Germany,2005,9216552,8931737
Germany,2010,9697052,9216552
Germany,2015,10105615,9697052
Germany,2020,15608391,10105615
Saudi Arabia,1990,4830679,0
Saudi Arabia,1995,4950773,4830679
Saudi Arabia,2000,5086745,4950773
Saudi Arabia,2005,6283624,5086745
Saudi Arabia,2010,8147064,6283624
Saudi Arabia,2015,10408329,8147064
Saudi Arabia,2020,13001347,10408329
Russian Federation,1990,11517183,0
Russian Federation,1995,11921092,11517183
Russian Federation,2000,11892610,11921092
Russian Federation,2005,11663653,11892610
Russian Federation,2010,11194534,11663653
Russian Federation,2015,11643055,11194534
Russian Federation,2020,11636554,11643055
United Kingdom,1990,3575525,0
United Kingdom,1995,4034204,3575525
United Kingdom,2000,4560937,4034204
United Kingdom,2005,5734529,4560937
United Kingdom,2010,6864266,5734529
United Kingdom,2015,8177323,6864266
United Kingdom,2020,9082536,8177323
France,1990,5895386,0
France,1995,6086052,5895386
France,2000,6276716,6086052
France,2005,6734252,6276716
France,2010,7306098,6734252
France,2015,7872952,7306098
France,2020,8518941,7872952
UAE,1990,1287556,0
UAE,1995,1781444,1287556
UAE,2000,2378173,1781444
UAE,2005,3183249,2378173
UAE,2010,7094266,3183249
UAE,2015,7752055,7094266
UAE,2020,8451322,7752055
Canada ,1990,4319804,0
Canada ,1995,4847779,4319804
Canada ,2000,5491026,4847779
Canada ,2005,6056674,5491026
Canada ,2010,6735855,6056674
Canada ,2015,7405913,6735855
Canada ,2020,8024473,7405913
Australia,1990,3946012,0
Australia,1995,4130952,3946012
Australia,2000,4333550,4130952
Australia,2005,4800509,4333550
Australia,2010,5769570,4800509
Australia,2015,6591860,5769570
Australia,2020,7532833,6591860
Spain,1990,816864,0
Spain,1995,1011626,816864
Spain,2000,1645940,1011626
Spain,2005,4101348,1645940
Spain,2010,6275801,4101348
Spain,2015,5873416,6275801
Spain,2020,6819451,5873416
Italy,1990,1427857,0
Italy,1995,1774215,1427857
Italy,2000,2120571,1774215
Italy,2005,3951503,2120571
Italy,2010,5781507,3951503
Italy,2015,5799648,5781507
Italy,2020,6379694,5799648
Turkey,1990,979633,0
Turkey,1995,1071375,979633
Turkey,2000,1175461,1071375
Turkey,2005,1214989,1175461
Turkey,2010,1261121,1214989
Turkey,2015,4197009,1261121
Turkey,2020,5912738,4197009
India,1990,7365037,0
India,1995,6918237,7365037
India,2000,6373046,6918237
India,2005,5780415,6373046
India,2010,5327507,5780415
India,2015,4981127,5327507
India,2020,4664165,4981127
Ukraine,1990,6481438,0
Ukraine,1995,5774245,6481438
Ukraine,2000,5137559,5774245
Ukraine,2005,4694360,5137559
Ukraine,2010,4479641,4694360
Ukraine,2015,4495836,4479641
Ukraine,2020,4571036,4495836
Thailand,1990,528671,0
Thailand,1995,809682,528671
Thailand,2000,1257759,809682
Thailand,2005,2195218,1257759
Thailand,2010,3233630,2195218
Thailand,2015,3469395,3233630
Thailand,2020,3631614,3469395
Kazakhstan,1990,3192260,0
Kazakhstan,1995,2936413,3192260
Kazakhstan,2000,2680568,2936413
Kazakhstan,2005,2885521,2680568
Kazakhstan,2010,3090475,2885521
Kazakhstan,2015,3287097,3090475
Kazakhstan,2020,3459530,3287097
Jordan,1990,1144310,0
Jordan,1995,1534834,1144310
Jordan,2000,1925359,1534834
Jordan,2005,2196432,1925359
Jordan,2010,2781508,2196432
Jordan,2015,3150117,2781508
Jordan,2020,3435756,3150117
Malaysia,1990,609304,0
Malaysia,1995,843822,609304
Malaysia,2000,1337233,843822
Malaysia,2005,1763735,1337233
Malaysia,2010,2242623,1763735
Malaysia,2015,3061157,2242623
Malaysia,2020,3247513,3061157
Pakistan,1990,6203799,0
Pakistan,1995,3665602,6203799
Pakistan,2000,4178579,3665602
Pakistan,2005,3171399,4178579
Pakistan,2010,3940511,3171399
Pakistan,2015,3425927,3940511
Pakistan,2020,3201265,3425927
Kuwait,1990,1048104,0
Kuwait,1995,893634,1048104
Kuwait,2000,1086284,893634
Kuwait,2005,1267972,1086284
Kuwait,2010,1768516,1267972
Kuwait,2015,2751639,1768516
Kuwait,2020,2985881,2751639
"China, Hong Kong SAR",1990,2000265,0
"China, Hong Kong SAR",1995,2152873,2000265
"China, Hong Kong SAR",2000,2305464,2152873
"China, Hong Kong SAR",2005,2524034,2305464
"China, Hong Kong SAR",2010,2748711,2524034
"China, Hong Kong SAR",2015,2809169,2748711
"China, Hong Kong SAR",2020,2929168,2809169
Iran,1990,4282607,0
Iran,1995,2928766,4282607
Iran,2000,2458733,2928766
Iran,2005,2529688,2458733
Iran,2010,2704744,2529688
Iran,2015,2716186,2704744
Iran,2020,2785736,2716186
Japan,1990,1065385,0
Japan,1995,1340239,1065385
Japan,2000,1648768,1340239
Japan,2005,1945860,1648768
Japan,2010,2064499,1945860
Japan,2015,2076531,2064499
Japan,2020,2490217,2076531
Côte d'Ivoire,1990,1794958,0
Côte d'Ivoire,1995,2038795,1794958
Côte d'Ivoire,2000,2103321,2038795
Côte d'Ivoire,2005,2201917,2103321
Côte d'Ivoire,2010,2300514,2201917
Côte d'Ivoire,2015,2401128,2300514
Côte d'Ivoire,2020,2490044,2401128
Switzerland,1990,1197055,0
Switzerland,1995,1307968,1197055
Switzerland,2000,1462792,1307968
Switzerland,2005,1690569,1462792
Switzerland,2010,1932845,1690569
Switzerland,2015,2172891,1932845
Switzerland,2020,2387258,2172891
Oman,1990,299352,0
Oman,1995,521084,299352
Oman,2000,596366,521084
Oman,2005,638222,596366
Oman,2010,783100,638222
Oman,2015,1780894,783100
Oman,2020,2276522,1780894
Singapore,1990,445694,0
Singapore,1995,793855,445694
Singapore,2000,1218865,793855
Singapore,2005,1526620,1218865
Singapore,2010,1919435,1526620
Singapore,2015,2201935,1919435
Singapore,2020,2237618,2201935
Argentina,1990,1565150,0
Argentina,1995,1512303,1565150
Argentina,2000,1459485,1512303
Argentina,2005,1614750,1459485
Argentina,2010,1767580,1614750
Argentina,2015,2042036,1767580
Argentina,2020,2237042,2042036
Qatar,1990,305265,0
Qatar,1995,353830,305265
Qatar,2000,349667,353830
Qatar,2005,624746,349667
Qatar,2010,1406620,624746
Qatar,2015,1654997,1406620
Qatar,2020,2192930,1654997
Netherlands,1990,1118486,0
Netherlands,1995,1270730,1118486
Netherlands,2000,1466752,1270730
Netherlands,2005,1631884,1466752
Netherlands,2010,1722200,1631884
Netherlands,2015,1796332,1722200
Netherlands,2020,2136727,1796332
Sweden,1990,719491,0
Sweden,1995,853829,719491
Sweden,2000,915113,853829
Sweden,2005,1033028,915113
Sweden,2010,1246140,1033028
Sweden,2015,1517711,1246140
Sweden,2020,1915164,1517711
Colombia,1990,93339,0
Colombia,1995,96910,93339
Colombia,2000,100468,96910
Colombia,2005,98561,100468
Colombia,2010,120955,98561
Colombia,2015,148532,120955
Colombia,2020,1893004,148532
Belgium,1990,1251696,0
Belgium,1995,1232867,1251696
Belgium,2000,1173171,1232867
Belgium,2005,1191833,1173171
Belgium,2010,1414183,1191833
Belgium,2015,1672385,1414183
Belgium,2020,1888034,1672385
Bangladesh,1990,741548,0
Bangladesh,1995,800479,741548
Bangladesh,2000,859424,800479
Bangladesh,2005,892782,859424
Bangladesh,2010,1100737,892782
Bangladesh,2015,1138134,1100737
Bangladesh,2020,1790721,1138134
Austria,1990,791774,0
Austria,1995,893239,791774
Austria,2000,994703,893239
Austria,2005,1125111,994703
Austria,2010,1272619,1125111
Austria,2015,1480923,1272619
Austria,2020,1735447,1480923
Uganda,1990,524217,0
Uganda,1995,588222,524217
Uganda,2000,581763,588222
Uganda,2005,590870,581763
