Country,year,value,lastValue
India,1990,6612932,0
India,1995,7144295,6612932
India,2000,7912823,7144295
India,2005,9567871,7912823
India,2010,13188762,9567871
India,2015,15852725,13188762
India,2020,17841249,15852725
Mexico,1990,4395277,0
Mexico,1995,6949190,4395277
Mexico,2000,9562758,6949190
Mexico,2005,10817652,9562758
Mexico,2010,12414992,10817652
Mexico,2015,11922938,12414992
Mexico,2020,11185394,11922938
Russian Federation,1990,12653132,0
Russian Federation,1995,11587969,12653132
Russian Federation,2000,10664855,11587969
Russian Federation,2005,10302078,10664855
Russian Federation,2010,10118071,10302078
Russian Federation,2015,10179214,10118071
Russian Federation,2020,10755333,10179214
China,1990,4230637,0
China,1995,5036184,4230637
China,2000,5896047,5036184
China,2005,7340551,5896047
China,2010,8713910,7340551
China,2015,10242627,8713910
China,2020,10464129,10242627
Syrian Arab Republic,1990,620181,0
Syrian Arab Republic,1995,661220,620181
Syrian Arab Republic,2000,707036,661220
Syrian Arab Republic,2005,813313,707036
Syrian Arab Republic,2010,1057247,813313
Syrian Arab Republic,2015,6447750,1057247
Syrian Arab Republic,2020,8457103,6447750
Bangladesh,1990,5449776,0
Bangladesh,1995,5423912,5449776
Bangladesh,2000,5442100,5423912
Bangladesh,2005,5493007,5442100
Bangladesh,2010,6309428,5493007
Bangladesh,2015,6810053,6309428
Bangladesh,2020,7387967,6810053
Pakistan,1990,3340857,0
Pakistan,1995,3339070,3340857
Pakistan,2000,3403709,3339070
Pakistan,2005,3773952,3403709
Pakistan,2010,4779911,3773952
Pakistan,2015,5780674,4779911
Pakistan,2020,6316942,5780674
Philippines,1990,2052867,0
Philippines,1995,2528351,2052867
Philippines,2000,3114186,2528351
Philippines,2005,3736265,3114186
Philippines,2010,4739453,3736265
Philippines,2015,5543348,4739453
Philippines,2020,6141098,5543348
Ukraine,1990,5543695,0
Ukraine,1995,5604645,5543695
Ukraine,2000,5594918,5604645
Ukraine,2005,5564277,5594918
Ukraine,2010,5426812,5564277
Ukraine,2015,5793598,5426812
Ukraine,2020,6134556,5793598
Afghanistan,1990,7679523,0
Afghanistan,1995,4347013,7679523
Afghanistan,2000,4750647,4347013
Afghanistan,2005,4116687,4750647
Afghanistan,2010,5269443,4116687
Afghanistan,2015,5400820,5269443
Afghanistan,2020,5853727,5400820
Venezuela (Bolivarian Republic of),1990,185196,0
Venezuela (Bolivarian Republic of),1995,241680,185196
Venezuela (Bolivarian Republic of),2000,317627,241680
Venezuela (Bolivarian Republic of),2005,436921,317627
Venezuela (Bolivarian Republic of),2010,560287,436921
Venezuela (Bolivarian Republic of),2015,708830,560287
Venezuela (Bolivarian Republic of),2020,5414978,708830
Poland,1990,1671804,0
Poland,1995,1773277,1671804
Poland,2000,2043485,1773277
Poland,2005,2879210,2043485
Poland,2010,3708409,2879210
Poland,2015,4066805,3708409
